,neuron_id,neuron_type,RF_area,RF_center
293,293,e5Rbp4,300.0,[9.16666667 5.16666667]
294,294,e5Rbp4,1100.0,[4.5        6.77272727]
295,295,e5Rbp4,500.0,[4.1 5.7]
296,296,e5Rbp4,400.0,[4. 6.]
297,297,e5Rbp4,200.0,[3.5 6. ]
298,298,e5Rbp4,800.0,[4.5  6.75]
299,299,e5Rbp4,700.0,[12.07142857  1.78571429]
300,300,e5Rbp4,400.0,[6. 4.]
301,301,e5Rbp4,400.0,[5.25 7.5 ]
302,302,e5Rbp4,300.0,[8.83333333 5.16666667]
303,303,e5Rbp4,200.0,[6.5 7. ]
304,304,e5Rbp4,200.0,[3.5 7. ]
305,305,e5Rbp4,500.0,[4.1 6.7]
306,306,e5Rbp4,1000.0,[9. 4.]
307,307,e5Rbp4,100.0,[7.5 3.5]
308,308,e5Rbp4,300.0,[3.83333333 5.83333333]
309,309,e5Rbp4,400.0,[9. 6.]
310,310,e5Rbp4,200.0,[9.5 4. ]
311,311,e5Rbp4,200.0,[6.5 7. ]
312,312,e5Rbp4,700.0,[6.92857143 5.78571429]
313,313,e5Rbp4,600.0,[8.5 6. ]
314,314,e5Rbp4,600.0,[11.83333333  1.16666667]
315,315,e5Rbp4,400.0,[7. 7.]
316,316,e5Rbp4,300.0,[9.83333333 5.16666667]
317,317,e5Rbp4,400.0,[5. 7.]
318,318,e5Rbp4,500.0,[7.1 7.3]
319,319,e5Rbp4,300.0,[9.16666667 6.16666667]
320,320,e5Rbp4,200.0,[3.5 5. ]
321,321,e5Rbp4,300.0,[8.16666667 4.16666667]
322,322,e5Rbp4,700.0,[11.92857143  9.5       ]
323,323,e5Rbp4,300.0,[9.83333333 5.16666667]
324,324,e5Rbp4,300.0,[ 0.83333333 10.16666667]
325,325,e5Rbp4,200.0,[8.5 4. ]
326,326,e5Rbp4,300.0,[6.83333333 4.16666667]
327,327,e5Rbp4,1600.0,[9.    8.625]
328,328,e5Rbp4,500.0,[8.9 5.3]
