,neuron_id,neuron_type,RF_area,RF_center
323,323,e5Rbp4,300.0,[4.5 4.5]
324,324,e5Rbp4,500.0,[5.7 7.1]
325,325,e5Rbp4,500.0,[8.7 4.9]
326,326,e5Rbp4,600.0,[6.33333333 4.33333333]
327,327,e5Rbp4,500.0,[8.3 8.1]
328,328,e5Rbp4,500.0,[8.1 5.7]
329,329,e5Rbp4,500.0,[4.3 5.9]
330,330,e5Rbp4,300.0,[5.16666667 6.16666667]
331,331,e5Rbp4,1000.0,[5.5 4.6]
332,332,e5Rbp4,500.0,[4.7 5.9]
333,333,e5Rbp4,400.0,[6. 6.]
334,334,e5Rbp4,600.0,[7.66666667 5.33333333]
335,335,e5Rbp4,600.0,[8.33333333 4.83333333]
336,336,e5Rbp4,600.0,[4.66666667 5.33333333]
337,337,e5Rbp4,900.0,[6.38888889 6.16666667]
338,338,e5Rbp4,400.0,[5. 4.]
339,339,e5Rbp4,300.0,[ 6.5 10.5]
340,340,e5Rbp4,600.0,[8.33333333 4.66666667]
341,341,e5Rbp4,700.0,[4.78571429 3.5       ]
342,342,e5Rbp4,300.0,[8.16666667 5.16666667]
343,343,e5Rbp4,300.0,[4.83333333 4.83333333]
344,344,e5Rbp4,500.0,[5.7 7.1]
345,345,e5Rbp4,300.0,[12.16666667 10.16666667]
346,346,e5Rbp4,400.0,[5. 6.]
347,347,e5Rbp4,500.0,[8.1 5.3]
348,348,e5Rbp4,600.0,[7.83333333 6.33333333]
349,349,e5Rbp4,400.0,[4.25 4.5 ]
350,350,e5Rbp4,500.0,[4.9 4.3]
351,351,e5Rbp4,500.0,[8.1 4.7]
352,352,e5Rbp4,400.0,[5. 6.]
353,353,e5Rbp4,400.0,[8.5  5.25]
354,354,e5Rbp4,400.0,[6.25 5.5 ]
355,355,e5Rbp4,600.0,[6.83333333 4.83333333]
356,356,e5Rbp4,500.0,[6.3 6.1]
357,357,e5Rbp4,300.0,[4.16666667 4.83333333]
358,358,e5Rbp4,300.0,[6.83333333 5.83333333]
359,359,e5Rbp4,600.0,[8.66666667 5.16666667]
360,360,e5Rbp4,400.0,[5.5  5.75]
